source,target,relationship_type,method,confidence,evidence
doc_02_12,38128,THAY_THE_BOI,Rule-based Trigger,0.98,"ản thi hành Thông tư này có hiệu lực thi hành từ ngày 12 tháng 01 năm 2015 và thay thế Thông tư số 23/2009/TT-NHNN ngày 02/12/2009 quy định việc thiết kế mẫu, chế bản và quản lý in, đúc tiền Việt Nam. Điều 22. Trách nhiệm tổ chức thực hiện Chánh"
26750,doc_51_2001_QH10,SUA_DOI_BO_SUNG,Rule-based Trigger,0.95,"n cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam năm 1992 đã được sửa đổi, bổ sung một số điều theo Nghị quyết số 51/2001/QH10; Quốc hội ban hành Luật Kiểm toán độc lập, Chương I NHỮNG QUY ĐỊNH CHUNG Điều 1. Phạm vi điều chỉnh Luật này quy định n"
163441,doc_47_2020_NĐ_CP,THAM_CHIEU,Rule-based Trigger,0.95,"iểm với các cơ sở dữ liệu quốc gia và các cơ sở dữ liệu chuyên ngành khác được thực hiện theo quy định tại Nghị định số 47/2020/NĐ-CP ngày 09 tháng 4 năm 2020 của Chính phủ về quản lý, kết nối và chia sẻ dữ liệu số trong cơ quan nhà nước và pháp luật ch"
163441,112025,THAM_CHIEU,Rule-based Trigger,0.95,"c ngày 01 tháng 01 năm 2028, vốn điều lệ, vốn chủ sở hữu không thấp hơn vốn pháp định quy định tại Điều 10 Nghị định số 73/2016/NĐ-CP; từ ngày 01 tháng 01 năm 2028, vốn điều lệ, vốn chủ sở hữu không thấp hơn vốn điều lệ tối thiểu theo quy định tại Điều"
163441,doc_08_2022_QH15,THAM_CHIEU,Rule-based Trigger,0.95,ên kết đơn vị phải đảm bảo tuân thủ quy định chung về nguyên tắc đầu tư tại khoản 2 Điều 99 Luật Kinh doanh bảo hiểm số 08/2022/QH15. 2. Hạn mức đầu tư của từng quỹ liên kết đơn vị: a) Công cụ nợ của Chính phủ: Không hạn chế; b) Chứng khoán đang lưu hàn
112025,163441,THAY_THE_BOI,Rule-based Trigger,0.98,"ng 01 năm 2023 thì không được phép gia hạn khoản đầu tư này. 4. Nghị định này thay thế các văn bản sau: a) Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định chi tiết thi hành Luật Kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một"
163441,doc_151_2018_NĐ_CP,THAM_CHIEU,Rule-based Trigger,0.95,"64, 65, 66, 67 của Nghị định số 73/2016/NĐ-CP có hiệu lực đến hết ngày 31 tháng 12 năm 2027; b) Chương III Nghị định số 151/2018/NĐ-CP ngày 07 tháng 11 năm 2018 của Chính phủ sửa đổi, bổ sung một số Nghị định quy định về điều kiện đầu tư, kinh doanh thuộ"
163441,doc_80_2019_NĐ_CP,THAM_CHIEU,Rule-based Trigger,0.95,"ị định quy định về điều kiện đầu tư, kinh doanh thuộc phạm vi quản lý nhà nước của Bộ Tài chính; c) Điều 1 Nghị định số 80/2019/NĐ-CP ngày 01 tháng 11 năm 2019 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm"
163441,112025,SUA_DOI_BO_SUNG,Rule-based Trigger,0.95,"Điều 1 Nghị định số 80/2019/NĐ-CP ngày 01 tháng 11 năm 2019 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định chi tiết thi hành Luật Kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một"
163441,doc_98_2013_NĐ_CP,SUA_DOI_BO_SUNG,Rule-based Trigger,0.95,"tiết thi hành Luật Kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật Kinh doanh bảo hiểm, Nghị định số 98/2013/NĐ-CP ngày 28 tháng 8 năm 2013 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực kinh doanh bảo hiểm, kinh"
163441,doc_48_2018_NĐ_CP,SUA_DOI_BO_SUNG,Rule-based Trigger,0.95,"hành chính trong lĩnh vực kinh doanh bảo hiểm, kinh doanh xổ số đã được sửa đổi, bổ sung một số điều theo Nghị định số 48/2018/NĐ-CP ngày 21 tháng 3 năm 2018 của Chính phủ. Điều 123. Trách nhiệm thi hành Các Bộ trưởng, Thủ trưởng cơ quan ngang bộ, Thủ"
163441,doc_16_6,THAM_CHIEU,Rule-based Trigger,0.95,GIẤY PHÉP THÀNH LẬP VÀ HOẠT ĐỘNG Kính gửi: Bộ trưởng Bộ Tài chính. Căn cứ Luật Kinh doanh bảo hiểm số 08/2022/QH15 ngày 16/6/2022 và các văn bản hướng dẫn thi hành; Chúng tôi (sau đây gọi là chủ đầu tư) đề nghị Bộ Tài chính cấp Giấy phép thành
163441,doc_14_2023_NĐ_CP,THAM_CHIEU,Rule-based Trigger,0.95,"ng... năm... BỘ TRƯỞNG BỘ TÀI CHÍNH Căn cứ Luật Kinh doanh bảo hiểm số 08/2022/QH15 ngày 16/6/2022; Căn cứ Nghị định số 14/2023/NĐ-CP ngày 20/4/2023 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính; Căn cứ Nghị đị"
163441,doc_20_4,THAM_CHIEU,Rule-based Trigger,0.95,"ỞNG BỘ TÀI CHÍNH Căn cứ Luật Kinh doanh bảo hiểm số 08/2022/QH15 ngày 16/6/2022; Căn cứ Nghị định số 14/2023/NĐ-CP ngày 20/4/2023 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính; Căn cứ Nghị định số 46/2"
163441,doc_01_7,THAM_CHIEU,Rule-based Trigger,0.95,"phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính; Căn cứ Nghị định số 46/2023/NĐ-CP ngày 01/7/2023 của Chính phủ quy định chi tiết thi hành một số điều của Luật Kinh doanh bảo hiểm; Xét đơn và hồ sơ ngày... tháng."
163441,doc_31_Đi,THAM_CHIEU,Rule-based Trigger,0.95,"Giám đốc (Giám đốc), Chuyên gia tính toán đáp ứng tiêu chuẩn chung của người quản trị, điều hành theo quy định tại Điều 31/Điều 32 Nghị định số ...... và hồ sơ kèm theo. NGƯỜI ĐẠI DIỆN THEO PHÁP LUẬT (Ký tên và đóng dấu) Hồ sơ kèm theo: Liệt kê"
163441,doc_16_2022_QH15,THAM_CHIEU,Rule-based Trigger,0.95,"c Số: ... / GPĐC... / VPĐD Hà Nội, ngày ... tháng ... năm ... BỘ TRƯỞNG BỘ TÀI CHÍNH Căn cứ Luật Kinh doanh bảo hiểm số 16/2022/QH15 ngày 16/6/2022; Căn cứ Nghị định số 14/2023/NĐ-CP ngày 20/4/2023 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn"
146468,doc_1_2,THAM_CHIEU,Rule-based Trigger,0.95,ịnh mức phạt tiền áp dụng đối với cá nhân. Trường hợp cá nhân có hành vi vi phạm như của tổ chức thì mức phạt tiền bằng 1/2 mức phạt tiền đối với tổ chức. Điều 6. Thời hiệu xử phạt vi phạm hành chính trong lĩnh vực chứng khoán 1. Thời hiệu xử
146468,doc_1_3,THAM_CHIEU,Rule-based Trigger,0.95,"vi vi phạm sau: a) Không đảm bảo số lượng thành viên Hội đồng quản trị theo quy định pháp luật; không đảm bảo tối thiểu 1/3 tổng số thành viên Hội đồng quản trị là thành viên không điều hành; không đảm bảo cơ cấu, số lượng thành viên Hội đồng"
146468,doc_108_2013_NĐ_CP,THAM_CHIEU,Rule-based Trigger,0.95,THI HÀNH Điều 52. Hiệu lực thi hành 1. Nghị định này có hiệu lực thi hành từ ngày 01 tháng 01 năm 2021. 2. Nghị định số 108/2013/NĐ-CP ngày 23 tháng 9 năm 2013 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứ
146468,doc_145_2016_NĐ_CP,THAM_CHIEU,Rule-based Trigger,0.95,"của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán và Nghị định số 145/2016/NĐ-CP ngày 01 tháng 11 năm 2016 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 108/2013/NĐ-CP ngày 23 tháng 9 nă"
146468,doc_108_2013_NĐ_CP,SUA_DOI_BO_SUNG,Rule-based Trigger,0.95,"án và Nghị định số 145/2016/NĐ-CP ngày 01 tháng 11 năm 2016 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 108/2013/NĐ-CP ngày 23 tháng 9 năm 2013 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứ"
168220,doc_2024_TT_NHNN,THAM_CHIEU,Rule-based Trigger,0.95,"VIỆT NAM --------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc ---------------------------- Số: 27 /2024/TT-NHNN Hà Nội, ngày 28 tháng 6 năm 2024 THÔNG TƯ Quy định về ngân hàng hợp tác xã, việc trích nộp, quản lý và sử dụng Quỹ bảo"
168220,doc_102_2022_NĐ_CP,THAM_CHIEU,Rule-based Trigger,0.95,"ật Các tổ chức tín dụng ngày 18 tháng 01 năm 2024; Căn cứ Luật Hợp tác xã ngày 20 tháng 6 năm 2023; Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nướ"
168220,doc_31_01,THAM_CHIEU,Rule-based Trigger,0.95,"uỹ tín dụng nhân dân có trách nhiệm trích nộp phí tham gia đầy đủ, đúng hạn vào Quỹ bảo toàn một năm một lần trước ngày 31/01 của năm tiếp theo. 2. Việc trích nộp Quỹ bảo toàn theo quy định tại khoản 1 Điều này được thực hiện như sau: a) Mức phí"
168220,doc_31_12,THAM_CHIEU,Rule-based Trigger,0.95,"thực hiện như sau: a) Mức phí trích nộp hằng năm bằng 0,05% dư nợ cho vay bình quân năm liền kề trước kết thúc vào ngày 31/12 của ngân hàng hợp tác xã, quỹ tín dụng nhân dân, trong đó dư nợ cho vay bình quân năm được tính bằng tổng dư nợ cho vay"
168220,doc_31_2012_TT_NHNN,THAM_CHIEU,Rule-based Trigger,0.95,u 33. Hiệu lực thi hành 1. Thông tư này có hiệu lực từ ngày 01 tháng 7 năm 2024. 2. Thông tư này bãi bỏ: a) Thông tư số 31/2012/TT-NHNN ngày 26 tháng 11 năm 2012 của Thống đốc Ngân hàng Nhà nước quy định về ngân hàng hợp tác xã; b) Thông tư số 09/2016/TT-
168220,doc_09_2016_TT_NHNN,THAM_CHIEU,Rule-based Trigger,0.95,"012/TT-NHNN ngày 26 tháng 11 năm 2012 của Thống đốc Ngân hàng Nhà nước quy định về ngân hàng hợp tác xã; b) Thông tư số 09/2016/TT-NHNN ngày 17 tháng 6 năm 2016 sửa đổi, bổ sung một số điều của Thông tư số 31/2012/TT-NHNN ngày 26/11/2012 của Thống đốc Ngâ"
168220,doc_31_2012_TT_NHNN,SUA_DOI_BO_SUNG,Rule-based Trigger,0.95,"n hàng hợp tác xã; b) Thông tư số 09/2016/TT-NHNN ngày 17 tháng 6 năm 2016 sửa đổi, bổ sung một số điều của Thông tư số 31/2012/TT-NHNN ngày 26/11/2012 của Thống đốc Ngân hàng Nhà nước quy định về ngân hàng hợp tác xã; c) Thông tư số 03/2014/TT-NHNN ngày"
168220,doc_26_11,SUA_DOI_BO_SUNG,Rule-based Trigger,0.95,"Thông tư số 09/2016/TT-NHNN ngày 17 tháng 6 năm 2016 sửa đổi, bổ sung một số điều của Thông tư số 31/2012/TT-NHNN ngày 26/11/2012 của Thống đốc Ngân hàng Nhà nước quy định về ngân hàng hợp tác xã; c) Thông tư số 03/2014/TT-NHNN ngày 23 tháng 01"
168220,doc_03_2014_TT_NHNN,THAM_CHIEU,Rule-based Trigger,0.95,tư số 31/2012/TT-NHNN ngày 26/11/2012 của Thống đốc Ngân hàng Nhà nước quy định về ngân hàng hợp tác xã; c) Thông tư số 03/2014/TT-NHNN ngày 23 tháng 01 năm 2014 của Thống đốc Ngân hàng Nhà nước quy định về Quỹ đảm bảo an toàn hệ thống quỹ tín dụng nhân d
168220,doc_21_2019_TT_NHNN,THAM_CHIEU,Rule-based Trigger,0.95,"đốc Ngân hàng Nhà nước quy định về Quỹ đảm bảo an toàn hệ thống quỹ tín dụng nhân dân; d) Điều 1 và Điều 5 Thông tư số 21/2019/TT-NHNN ngày 14 tháng 11 năm 2019 sửa đổi, bổ sung một số điều của các Thông tư quy định về ngân hàng hợp tác xã, quỹ tín dụng"
168220,doc_24_2023_TT_NHNN,THAM_CHIEU,Rule-based Trigger,0.95,"gân hàng hợp tác xã, quỹ tín dụng nhân dân và quỹ bảo đảm an toàn hệ thống quỹ tín dụng nhân dân; đ) Điều 1 Thông tư số 24/2023/TT-NHNN ngày 30 tháng 12 năm 2023 sửa đổi, bổ sung một số điều của các Thông tư liên quan đến việc nộp, xuất trình, cung cấp th"
168220,doc_21_2023_TT_NHNN,THAM_CHIEU,Rule-based Trigger,0.95,"giấy tờ về dân cư khi thực hiện thủ tục hành chính trong lĩnh vực thành lập và hoạt động ngân hàng. đ) Điều 2 Thông tư 21/2023/TT-NHNN sửa đổi, bổ sung một số điều của các Thông tư liên quan đến hoạt động kinh doanh thuộc phạm vi, chức năng quản lý của N"
133858,doc_68_2000_NĐ_CP,THAM_CHIEU,Rule-based Trigger,0.95,"oản đóng góp theo lương của số người lao động hiện có (bao gồm: số biên chế có mặt, lao động hợp đồng theo Nghị định số 68/2000/NĐ-CP ngày 17 tháng 11 năm 2000 của Chính phủ và lao động hợp đồng chuyên môn khác) trong một năm từ 20 tỷ đồng trở lên hoặc"
169221,44209,SUA_DOI_BO_SUNG,Rule-based Trigger,0.95,"– Hạnh phúc Số: 43/2024/TT-NHNN Hà Nội, ngày 09 tháng 8 năm 2024 THÔNG TƯ Sửa đổi, bổ sung một số điều của Thông tư số 01/2014/TT-NHNN ngày 10 tháng 12 năm 2014 của Thống đốc Ngân hàng Nhà nước Việt Nam hướng dẫn việc tổ chức thực hiện hoạt động quản lý"
169221,doc_50_2014_NĐ_CP,THAM_CHIEU,Rule-based Trigger,0.95,"năm 2005; Pháp lệnh sửa đổi, bổ sung một số điều của Pháp lệnh Ngoại hối ngày 18 tháng 3 năm 2013; Căn cứ Nghị định số 50/2014/NĐ-CP ngày 20 tháng 5 năm 2014 của Chính phủ về quản lý dự trữ ngoại hối nhà nước; Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12"
169221,doc_102_2022_NĐ_CP,THAM_CHIEU,Rule-based Trigger,0.95,"định số 50/2014/NĐ-CP ngày 20 tháng 5 năm 2014 của Chính phủ về quản lý dự trữ ngoại hối nhà nước; Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nướ"
169221,doc_12_2023_TT_NHNN,SUA_DOI_BO_SUNG,Rule-based Trigger,0.95,"ày giao dịch.” 7. Sửa đổi, bổ sung khoản 1 và khoản 5 Điều 14 (đã được sửa đổi, bổ sung bởi khoản 11 Điều 1 Thông tư số 12/2023/TT-NHNN ngày 12/10/2023 của Thống đốc Ngân hàng Nhà nước Việt Nam sửa đổi, bổ sung một số điều của các văn bản quy phạm pháp lu"
169221,doc_12_10,SUA_DOI_BO_SUNG,Rule-based Trigger,0.95,"đổi, bổ sung khoản 1 và khoản 5 Điều 14 (đã được sửa đổi, bổ sung bởi khoản 11 Điều 1 Thông tư số 12/2023/TT-NHNN ngày 12/10/2023 của Thống đốc Ngân hàng Nhà nước Việt Nam sửa đổi, bổ sung một số điều của các văn bản quy phạm pháp luật quy định"
169221,doc_12_2023_TT_NHNN,THAM_CHIEU,Rule-based Trigger,0.95,ông nhiệm vụ hạch toán giữa Cục Quản lý dự trữ ngoại hối nhà nước và Sở Giao dịch theo quy định tại Điều 13 Thông tư số 12/2023/TT-NHNN: Hằng ngày: Số liệu về dự trữ ngoại hối nhà nước theo mẫu quy định tại Phụ lục số 01 ban hành kèm theo Thông tư này; Mu
169221,doc_01_2020_TT_NHNN,SUA_DOI_BO_SUNG,Rule-based Trigger,0.95,"tư này. 13. Sửa đổi, bổ sung điểm a và điểm c khoản 2 Điều 30 (đã được sửa đổi, bổ sung bởi khoản 13 Điều 1 Thông tư số 01/2020/TT-NHNN ngày 31/12/2020 của Thống đốc Ngân hàng Nhà nước Việt Nam sửa đổi, bổ sung một số điều của Thông tư 01/2014/TT-NHNN ngà"
169221,doc_31_12,SUA_DOI_BO_SUNG,Rule-based Trigger,0.95,"bổ sung điểm a và điểm c khoản 2 Điều 30 (đã được sửa đổi, bổ sung bởi khoản 13 Điều 1 Thông tư số 01/2020/TT-NHNN ngày 31/12/2020 của Thống đốc Ngân hàng Nhà nước Việt Nam sửa đổi, bổ sung một số điều của Thông tư 01/2014/TT-NHNN ngày 10 tháng"
169221,44209,THAM_CHIEU,Rule-based Trigger,0.95,"các nhiệm vụ khác theo quy định tại Thông tư này.” Điều 2. Thay thế, bổ sung và bãi bỏ một số quy định của Thông tư số 01/2014/TT-NHNN 1. Thay thế Phụ lục số 01, Phụ lục số 03, Phụ lục số 04, Phụ lục số 06, Phụ lục số 07 và Phụ lục số 08 (đã được thay th"
doc_12_2023_TT_NHNN,169221,THAY_THE_BOI,Rule-based Trigger,0.98,"ục số 01, Phụ lục số 03, Phụ lục số 04, Phụ lục số 06, Phụ lục số 07 và Phụ lục số 08 (đã được thay thế bởi Thông tư số 12/2023/TT-NHNN) bằng Phụ lục số 01, Phụ lục số 03, Phụ lục số 04, Phụ lục số 06, Phụ lục số 07 và Phụ lục số 08 tương ứng ban hành kèm"
169221,doc_23_9,THAM_CHIEU,Rule-based Trigger,0.95,"ệt Nam chịu trách nhiệm tổ chức thực hiện Thông tư này. Điều 4. Điều khoản thi hành 1. Thông tư này có hiệu lực từ ngày 23/9/2024. 2. Thông tư này bãi bỏ khoản 3, khoản 4, khoản 5, khoản 9, khoản 16 Điều 1, khoản 3, khoản 4 Điều 2 Thông tư số 0"
169221,doc_01_2020_TT_NHNN,THAM_CHIEU,Rule-based Trigger,0.95,"9/2024. 2. Thông tư này bãi bỏ khoản 3, khoản 4, khoản 5, khoản 9, khoản 16 Điều 1, khoản 3, khoản 4 Điều 2 Thông tư số 01/2020/TT-NHNN. 3. Thông tư này bãi bỏ điểm a khoản 2, điểm b khoản 3, khoản 4, khoản 5, khoản 6, khoản 8, khoản 12 và khoản 16, điểm b"
95652,doc_2015_NĐ_CP,THAM_CHIEU,Rule-based Trigger,0.95,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 135 /2015/NĐ-CP Hà Nội, ngày 31 tháng 12 năm 2015 NGHỊ ĐỊNH Q uy định về đầu tư gián tiếp ra nước ngoài _____________ Căn cứ Luật Tổ ch"
f69936f0-6937-11f1-a48d-29bc6b0fd706,146468,THAM_CHIEU,Rule-based Trigger,0.95,___ NGHỊ ĐỊNH [1] Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường ch
f69936f0-6937-11f1-a48d-29bc6b0fd706,doc_128_2021_NĐ_CP,SUA_DOI_BO_SUNG,Rule-based Trigger,0.95,"à thị trường chứng khoán, có hiệu lực thi hành kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi: Nghị định số 128/2021/NĐ-CP ngày 30 tháng 12 năm 2021 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 n"
f69936f0-6937-11f1-a48d-29bc6b0fd706,146468,SUA_DOI_BO_SUNG,Rule-based Trigger,0.95,"bởi: Nghị định số 128/2021/NĐ-CP ngày 30 tháng 12 năm 2021 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường ch"
f69936f0-6937-11f1-a48d-29bc6b0fd706,doc_306_2025_NĐ_CP,THAM_CHIEU,Rule-based Trigger,0.95,"rong lĩnh vực chứng khoán và thị trường chứng khoán, có hiệu lực thi hành kể từ ngày 01 tháng 01 năm 2022. Nghị định số 306/2025/NĐ-CP ngày 25 tháng 11 năm 2025 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 n"
f69936f0-6937-11f1-a48d-29bc6b0fd706,doc_158_2020_NĐ_CP,SUA_DOI_BO_SUNG,Rule-based Trigger,0.95,"sửa đổi, bổ sung một số điều theo Nghị định số 128/2021/NĐ-CP ngày 30 tháng 12 năm 2021 của Chính phủ) và Nghị định số 158/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ về chứng khoán phái sinh và thị trường chứng khoán phái sinh, có hiệu lực thi h"
f69936f0-6937-11f1-a48d-29bc6b0fd706,doc_1_2,THAM_CHIEU,Rule-based Trigger,0.95,t tiền áp dụng cho tổ chức và cho cá nhân. Trường hợp cá nhân có hành vi vi phạm như của tổ chức thì mức phạt tiền bằng 1/2 mức phạt tiền đối với tổ chức. Điều 6. Thời hiệu xử phạt vi phạm hành chính trong lĩnh vực chứng khoán [23] 1. Thời hiệ
